region	chr	midPos	Nsites
(758,1135)(270388,270801)(250000,300000)	JASDQU010010013.1	275000	379	0.072437
(126,2156)(154310,163289)(150000,200000)	JASDQU010010031.1	175000	2032	0.386753
(1493,1905)(191701,192309)(150000,200000)	JASDQU010010034.1	175000	414	-0.006569
(606,1012)(211277,211701)(200000,250000)	JASDQU010010035.1	225000	408	0.101618
(187,210)(128819,128850)(100000,150000)	JASDQU010010040.1	125000	25	0.049701
(211,1109)(343091,343994)(300000,350000)	JASDQU010010040.1	325000	900	0.503485
(512,673)(176403,188475)(150000,200000)	JASDQU010010049.1	175000	163	0.065338
(2038,2432)(153670,154108)(150000,200000)	JASDQU010010054.1	175000	396	0.032470
(33,261)(121221,121894)(100000,150000)	JASDQU010010055.1	125000	230	0.588671
(152,617)(118549,119082)(100000,150000)	JASDQU010010058.1	125000	467	0.659706
(90,618)(248678,249211)(200000,250000)	JASDQU010010065.1	225000	530	0.589307
(619,678)(285343,285428)(250000,300000)	JASDQU010010065.1	275000	61	0.050000
(600,768)(75186,75356)(50000,100000)	JASDQU010010068.1	75000	170	0.068357
(133,497)(158930,160342)(150000,200000)	JASDQU010010086.1	175000	366	0.156671
(48,753)(324733,325452)(300000,350000)	JASDQU010010118.1	325000	707	0.536318
(2992,3087)(88149,88260)(50000,100000)	JASDQU010010129.1	75000	97	0.061849
(181,486)(50892,51219)(50000,100000)	JASDQU010010137.1	75000	307	0.483106
(920,1697)(57793,58631)(50000,100000)	JASDQU010010145.1	75000	779	0.324168
(664,1666)(250169,268125)(250000,300000)	JASDQU010010146.1	275000	1004	0.270144
(1132,1773)(226518,227209)(200000,250000)	JASDQU010010155.1	225000	643	0.724848
(44,491)(335938,336422)(300000,350000)	JASDQU010010181.1	325000	449	0.083257
(1275,2466)(250000,251408)(250000,300000)	JASDQU010010184.1	275000	1193	0.440425
(2347,3050)(50000,96365)(50000,100000)	JASDQU010010197.1	75000	705	0.406690
(4,284)(129135,129708)(100000,150000)	JASDQU010010218.1	125000	282	0.270954
(6397,6665)(100898,101233)(100000,150000)	JASDQU010010227.1	125000	270	0.333189
(427,1392)(77885,82431)(50000,100000)	JASDQU010010231.1	75000	967	0.025950
(1393,3047)(302108,303894)(300000,350000)	JASDQU010010231.1	325000	1656	0.274582
(3048,3625)(487321,487979)(450000,500000)	JASDQU010010231.1	475000	579	0.009219
(3626,3881)(503225,503691)(500000,550000)	JASDQU010010231.1	525000	257	0.020797
(2084,2627)(120030,120597)(100000,150000)	JASDQU010010234.1	125000	545	0.534385
(154,1486)(194105,196473)(150000,200000)	JASDQU010010245.1	175000	1334	0.558316
(231,1018)(56925,62757)(50000,100000)	JASDQU010010265.1	75000	789	0.310492
(123,686)(251418,261056)(250000,300000)	JASDQU010010271.1	275000	565	0.149192
(591,1453)(53721,54598)(50000,100000)	JASDQU010010292.1	75000	864	0.214653
(1762,1768)(220481,220487)(200000,250000)	JASDQU010010307.1	225000	8	0.042865
(648,1320)(106593,107273)(100000,150000)	JASDQU010010310.1	125000	674	0.028642
(553,1269)(245540,246261)(200000,250000)	JASDQU010010323.1	225000	718	0.020567
(155,656)(292684,294088)(250000,300000)	JASDQU010010346.1	275000	503	0.088531
(682,1385)(78498,79205)(50000,100000)	JASDQU010010379.1	75000	705	0.069580
(337,983)(75923,76700)(50000,100000)	JASDQU010010393.1	75000	648	0.614929
